PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40086494,Clinical frailty predicts long-term survival and return to functional status following fenestrated and branched aortic repair for thoracoabdominal aortic aneurysm.,2025 Mar 12,Murphy BE; Bunker M; Gillan A; Sorber R; Zettervall SL; Sweet MP,,
40086461,"Safety and immunogenicity of a pentavalent meningococcal conjugate vaccine targeting serogroups A, C, W, Y, and X when co-administered with routine childhood vaccines at ages 9 months and 15 months in Mali: a single-centre, double-blind, randomised, controlled, phase 3, non-inferiority trial.",2025 Mar 11,Diallo F; Haidara FC; Tapia MD; Dominguez Islas CP; Alderson MR; Hausdorff WP; Martellet L; Hosken N; Kapse D; Kulkarni PS; Townsend-Payne K; Vanni F; Posavad CM; Sow SO; Kotloff KL; Chen WH; NmCV-5 EPI study team,,
40086399,"The role of physical activity, sedentary behaviour, diet, adiposity and body composition on health-related quality of life and cancer-related fatigue after diagnosis of colorectal cancer: a Global Cancer Update Programme (CUP Global) systematic literature review and meta-analysis.",2025 Mar 13,Markozannes G; Cividini S; Aune D; Becerra-Tomás N; Kiss S; Balducci K; Vieira R; Cariolou M; Jayedi A; Greenwood DC; Brockton NT; Croker H; Mitrou P; Copson E; Renehan AG; Bours M; Demark-Wahnefried W; Hudson MM; May AM; Odedina FT; Skinner R; Steindorf K; Tjønneland A; Velikova G; Baskin ML; Chowdhury R; Hill L; Lewis SJ; Seidell J; Weijenberg MP; Krebs J; Cross AJ; Tsilidis KK; Chan DSM,,
40086192,Cost analysis and clinical outcomes of enhanced recovery after surgery for head and neck free flap reconstruction.,2025 Feb 15,Lee JM; Chen MC; Wu SH; Shih YC; Lin CH; Hsiao FY; Chen CE; Chiu YJ; Wang TH,,
40086048,Efficacy and safety of entrectinib in children with extracranial solid or central nervous system (CNS) tumours harbouring NTRK or ROS1 fusions.,2025 Feb 22,Desai AV; Bagchi A; Armstrong AE; van Tilburg CM; Basu EM; Robinson GW; Wang H; Casanova M; André N; Campbell-Hewson Q; Wu Y; Cardenas A; Ci B; Ryklansky C; Devlin CE; Meneses-Lorente G; Wulff J; Hutchinson KE; Gajjar A; Fox E,,
40086035,The 100 most-cited radiomics articles in cancer research: A bibliometric analysis.,2025 Mar 11,Zhang W; Zhuang D; Wei W; Yang Y; Ma L; Du H; Jin A; He J; Li X,,
40086028,Management of Head and Neck Squamous Cell Carcinoma With N3 Nodal Disease.,2025 Feb 22,Wang L; Ingle M; Oo L; Bains A; Lam F; James A; Podesta C; Virk J; Awad Z; Gujral D,,
40085930,Effect of cumulative dexamethasone dose on the outcome of patients with radiosurgically treated brain metastases in the era of modern oncological therapy.,2025 Mar 14,Cho A; Gatterbauer B; Chen Y; Jankowski T; Haider L; Tögl S; Kapfhammer I; Schreder M; Kirchbacher K; Zöchbauer-Müller S; Rössler K; Dorfer C; Dodier P; Hochmair MJ; Frischer JM,,
40085921,Chondroblastoma in 28 cases: The risk of local recurrence increases with larger tumor size.,2025 Jan-Apr,Yang D; Wang Z,,
40085845,"Analyzing Online Search Trends for Kidney, Prostate, and Bladder Cancers in China: Infodemiology Study Using Baidu Search Data (2011-2023).",2025 Mar 14,Lin S; Duan L; Xu X; Cao H; Lu X; Wen X; Wei S,,
40085435,HPV-related cancer prevention among people experiencing housing instability: A systematic review.,2025 Mar 14,Galvin AM; Akpan IN; Garg A; Cuccaro PM; Thompson EL; Santa Maria DM,,
40085401,Efficacy and safety of different dosages of rituximab for myasthenia gravis: a single-arm meta-analysis.,2025 Mar 14,Li J; Chen D; Zhao F; Cao W; Jin P,,
40085311,Development of a Tool for Patient-Reported Incidents of Race and Language Bias in an Academic Medical Center.,2025 Mar 14,Odai-Afotey A; Shen D; Davey S; Pham A; Shannon EM; Gershanik E,,
40085244,MRI navigation surgery for T4b rectal cancer using multiple minimally invasive surgical approaches.,2025 Mar 14,Hamada M; Matsumi Y; Inada R; Matsumoto T; Kita M; Boku S; Kurokawa H; Tsuta K,,
40085217,A new technique of anterograde puncture for chronic limb-threatening ischemia with superficial femoral artery flush occlusion: vascular sheath fenestration.,2025 Mar 14,He Z; Wang B; Meng H; Zhang L; Zhang Q,,
40084978,"Regulatory Approval of CAR-T Cell and BsAb Products for Lymphoid Neoplasms in the US, EU, and Japan.",2025 Mar 14,Matsuda K; Nonami A; Shinohara K; Nagai S,,
40084913,Post-operative Fluid Restriction to Prevent Delayed Hyponatremia after Endoscopic Transsphenoidal Surgery.,2025 Mar 14,Klassen D; Mok S; Hwang JY; Blount SL; Williams KJ; Fong BM; Chicoine MR; Dacey RG Jr; Farrell NF; Osbun JW; Rich KM; Roland LT; Schneider JS; Zipfel GJ; Luo C; Kim AH; Silverstein JM,,
40084835,The Ready for Safe Cancer Treatment (RESET) tool: enhancing quality and optimizing timely and safe discharge with transitional care adjustments for Head and Neck Cancer patients.,2025 Mar 14,Wierzbicka M; Kiszka M; Barnaś S; Jeziorny M; Zając B; Dwornikowska-Dąbrowska M; Jędruchniewicz N,,
40084542,"Household Transmission and Genomic Diversity of Respiratory Syncytial Virus (RSV) in the United States, 2022-2023.",2025 Mar 14,Cox SN; Roychoudhury P; Frivold C; Acker Z; Babu TM; Boisvert CL; Carone M; Ehmen B; Englund JA; Feldstein LR; Gamboa L; Grindstaff S; Grioni HM; Han PD; Hoffman KL; Kim HG; Kuntz JL; Lo NK; Lockwood CM; McCaffrey K; Mularski RA; Hatchie TL; Reich SL; Schmidt MA; Smith N; Starita LM; Varga A; Yetz N; Naleway AL; Weil AA; Chu HY,,
40084472,Efficacy and safety of a novel multihole fully covered self-expandable metallic stent for malignant distal biliary obstruction: Multicenter retrospective study.,2025 Mar 14,Takahashi S; Takeda T; Kobayashi M; Saito K; Suda K; Yamamoto N; Mizuno S; Fukuda R; Kato H; Tomishima K; Ishii S; Fujisawa T; Hisada Y; Takahara N; Sasaki T; Kogure H; Matsubara S; Sasahira N; Nakai Y; Mochida S; Isayama H,,
